container;item;scale;time
rock_125k.obj;pig.obj;0,071196;105,946
rock_125k.obj;ring.obj;0,02527;9,57
rock_125k.obj;sphere.stl;0,121705;114,74
rock_125k.obj;star.obj;0,035284;16,015
rock_125k.obj;star.stl;0,003903;13,168
rock_125k.obj;stone_1.obj;0,018593;32,954
rock_125k.obj;stone_2.obj;0,106703;32,017
rock_125k.obj;stone_3.obj;0,038762;22,696
rock_125k.obj;stone_4.obj;0,038775;23,186
rock_125k.obj;stone_5.obj;0,019168;30,859
rock_125k.obj;stone_6.obj;0,084736;26,744
rock_125k.obj;stone_7.obj;0,066679;27,304
rock_125k.obj;tetrahedron.stl;0,128903;7,612
rock_125k.obj;torus.stl;0,048283;34,966
rock_125k.obj;tree.stl;0,007994;26,016
rock_270k.stl;apple.stl;0,114095;218,03
rock_270k.stl;arrow.obj;0,71051;15,885
rock_270k.stl;banana.stl;1,230643;83,915
rock_270k.stl;bobbin.stl;1,64045;1346,253
rock_270k.stl;convexstone.stl;0,414098;71,985
rock_270k.stl;cube.obj;1,246079;57,129
rock_270k.stl;dagger.stl;0,102096;47,484
rock_270k.stl;dodecahedron.stl;0,669536;136,927
rock_270k.stl;dragon.obj;2,466269;500,627
rock_270k.stl;frustum.stl;1,477218;198,977
rock_270k.stl;gem.stl;0,070502;113,8
rock_270k.stl;helmet.stl;2,778026;811,943
rock_270k.stl;oloid.stl;0,076123;190,979
rock_270k.stl;pig.obj;1,348882;542,942
rock_270k.stl;ring.obj;0,569696;86,135
rock_270k.stl;sphere.stl;2,654103;1076,747
rock_270k.stl;star.obj;0,80228;27,344
rock_270k.stl;star.stl;0,078464;17,98
rock_270k.stl;stone_1.obj;0,381884;542,339
rock_270k.stl;stone_2.obj;2,189484;222,468
rock_270k.stl;stone_3.obj;0,821332;142,922
rock_270k.stl;stone_4.obj;0,762948;94,022
rock_270k.stl;stone_5.obj;0,388222;232,442
rock_270k.stl;stone_6.obj;1,681338;168,478
rock_270k.stl;stone_7.obj;1,323204;393,843
rock_270k.stl;tetrahedron.stl;2,566359;29,233
rock_270k.stl;torus.stl;1,094652;317,646
rock_270k.stl;tree.stl;0,169612;101,983
rock_650k.obj;apple.stl;0,157004;3605,538
rock_650k.obj;arrow.obj;1,082974;3007,897
rock_650k.obj;banana.stl;1,911725;3600,189
rock_650k.obj;bobbin.stl;2,16734;3612,439
rock_650k.obj;convexstone.stl;0,540915;3602,545
rock_650k.obj;cube.obj;1,802907;3418,17
rock_650k.obj;dagger.stl;0,191568;3604,095
rock_650k.obj;dodecahedron.stl;0,916116;3600,325
rock_650k.obj;dragon.obj;3,751524;3642,427
rock_650k.obj;frustum.stl;2,279919;3603,893
rock_650k.obj;gem.stl;0,098957;3602,143
rock_650k.obj;helmet.stl;3,5791;3611,592
rock_650k.obj;oloid.stl;0,094105;3611,605
rock_650k.obj;pig.obj;1,499348;3734,968
rock_650k.obj;ring.obj;0,93471;3601,556
rock_650k.obj;sphere.stl;3,306511;3636,489
rock_650k.obj;star.obj;1,41299;3181,804
rock_650k.obj;star.stl;0,151228;1205,792
rock_650k.obj;stone_1.obj;0,426071;3610,62
rock_650k.obj;stone_2.obj;2,918858;3609,661
rock_650k.obj;stone_3.obj;0,883179;3606,354
rock_650k.obj;stone_4.obj;0,990863;3611,599
rock_650k.obj;stone_5.obj;0,445744;3611,025
rock_650k.obj;stone_6.obj;2,043463;3623,746
rock_650k.obj;stone_7.obj;1,822029;3605,839
rock_650k.obj;tetrahedron.stl;4,250965;3600,403
rock_650k.obj;torus.stl;1,323092;3611,493
rock_650k.obj;tree.stl;0,221641;3600,79
sphere.stl;apple.stl;0,032731;10,202
sphere.stl;arrow.obj;0,14815;11,242
sphere.stl;banana.stl;0,217878;6,492
sphere.stl;bobbin.stl;0,57743;11,734
